data_id,treat,age,education,married,nodegree,black,hispanic,white,re75,re78
Lalonde Sample,1.0,37.0,11.0,1.0,1.0,1.0,0.0,0,0.0,9930.046
Lalonde Sample,1.0,22.0,9.0,0.0,1.0,0.0,1.0,0,0.0,3595.894
Lalonde Sample,1.0,30.0,12.0,0.0,0.0,1.0,0.0,0,0.0,24909.45
Lalonde Sample,1.0,27.0,11.0,0.0,1.0,1.0,0.0,0,0.0,7506.146
Lalonde Sample,1.0,33.0,8.0,0.0,1.0,1.0,0.0,0,0.0,289.7899
Lalonde Sample,1.0,22.0,9.0,0.0,1.0,1.0,0.0,0,0.0,4056.494
Lalonde Sample,1.0,23.0,12.0,0.0,0.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,32.0,11.0,0.0,1.0,1.0,0.0,0,0.0,8472.158
Lalonde Sample,1.0,22.0,16.0,0.0,0.0,1.0,0.0,0,0.0,2164.022
Lalonde Sample,1.0,33.0,12.0,1.0,0.0,0.0,0.0,1,0.0,12418.07
Lalonde Sample,1.0,19.0,9.0,0.0,1.0,1.0,0.0,0,0.0,8173.908
Lalonde Sample,1.0,21.0,13.0,0.0,0.0,1.0,0.0,0,0.0,17094.64
Lalonde Sample,1.0,18.0,8.0,0.0,1.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,27.0,10.0,1.0,1.0,1.0,0.0,0,0.0,18739.93
Lalonde Sample,1.0,17.0,7.0,0.0,1.0,1.0,0.0,0,0.0,3023.879
Lalonde Sample,1.0,19.0,10.0,0.0,1.0,1.0,0.0,0,0.0,3228.503
Lalonde Sample,1.0,27.0,13.0,0.0,0.0,1.0,0.0,0,0.0,14581.86
Lalonde Sample,1.0,23.0,10.0,0.0,1.0,1.0,0.0,0,0.0,7693.4
Lalonde Sample,1.0,40.0,12.0,0.0,0.0,1.0,0.0,0,0.0,10804.32
Lalonde Sample,1.0,26.0,12.0,0.0,0.0,1.0,0.0,0,0.0,10747.35
Lalonde Sample,1.0,23.0,11.0,0.0,1.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,41.0,14.0,0.0,0.0,0.0,0.0,1,0.0,5149.501
Lalonde Sample,1.0,38.0,9.0,0.0,1.0,0.0,0.0,1,0.0,6408.95
Lalonde Sample,1.0,24.0,11.0,0.0,1.0,1.0,0.0,0,0.0,1991.4
Lalonde Sample,1.0,33.0,11.0,0.0,1.0,1.0,0.0,0,7867.916,6281.433
Lalonde Sample,1.0,18.0,10.0,0.0,1.0,1.0,0.0,0,0.0,11163.17
Lalonde Sample,1.0,29.0,11.0,1.0,1.0,1.0,0.0,0,0.0,9642.999
Lalonde Sample,1.0,25.0,11.0,0.0,1.0,1.0,0.0,0,0.0,9897.049
Lalonde Sample,1.0,27.0,10.0,0.0,1.0,0.0,1.0,0,0.0,11142.87
Lalonde Sample,1.0,17.0,10.0,0.0,1.0,1.0,0.0,0,0.0,16218.04
Lalonde Sample,1.0,24.0,11.0,0.0,1.0,1.0,0.0,0,0.0,995.7002
Lalonde Sample,1.0,17.0,10.0,0.0,1.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,26.0,11.0,1.0,1.0,1.0,0.0,0,2754.646,26372.28
Lalonde Sample,1.0,48.0,4.0,0.0,1.0,1.0,0.0,0,0.0,6551.592
Lalonde Sample,1.0,25.0,11.0,1.0,1.0,1.0,0.0,0,0.0,1574.424
Lalonde Sample,1.0,20.0,12.0,0.0,0.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,25.0,12.0,0.0,0.0,1.0,0.0,0,0.0,3191.753
Lalonde Sample,1.0,42.0,14.0,0.0,0.0,1.0,0.0,0,0.0,20505.93
Lalonde Sample,1.0,25.0,5.0,0.0,1.0,1.0,0.0,0,0.0,6181.88
Lalonde Sample,1.0,23.0,12.0,1.0,0.0,1.0,0.0,0,0.0,5911.551
Lalonde Sample,1.0,46.0,8.0,1.0,1.0,1.0,0.0,0,0.0,3094.156
Lalonde Sample,1.0,24.0,10.0,0.0,1.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,21.0,12.0,0.0,0.0,1.0,0.0,0,0.0,1254.582
Lalonde Sample,1.0,19.0,9.0,0.0,1.0,0.0,0.0,1,0.0,13188.83
Lalonde Sample,1.0,17.0,8.0,0.0,1.0,1.0,0.0,0,0.0,8061.485
Lalonde Sample,1.0,18.0,8.0,1.0,1.0,0.0,1.0,0,0.0,2787.96
Lalonde Sample,1.0,20.0,11.0,0.0,1.0,1.0,0.0,0,0.0,3972.54
Lalonde Sample,1.0,25.0,11.0,1.0,1.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,17.0,8.0,0.0,1.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,17.0,9.0,0.0,1.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,25.0,5.0,0.0,1.0,1.0,0.0,0,0.0,12187.41
Lalonde Sample,1.0,23.0,12.0,0.0,0.0,1.0,0.0,0,0.0,4843.176
Lalonde Sample,1.0,28.0,8.0,0.0,1.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,31.0,11.0,1.0,1.0,1.0,0.0,0,0.0,8087.487
Lalonde Sample,1.0,18.0,11.0,0.0,1.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,25.0,12.0,0.0,0.0,1.0,0.0,0,0.0,2348.973
Lalonde Sample,1.0,30.0,11.0,1.0,1.0,1.0,0.0,0,0.0,590.7818
Lalonde Sample,1.0,17.0,10.0,0.0,1.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,37.0,9.0,0.0,1.0,1.0,0.0,0,0.0,1067.506
Lalonde Sample,1.0,41.0,4.0,1.0,1.0,1.0,0.0,0,0.0,7284.986
Lalonde Sample,1.0,42.0,14.0,1.0,0.0,1.0,0.0,0,0.0,13167.52
Lalonde Sample,1.0,22.0,11.0,0.0,1.0,0.0,0.0,1,0.0,1048.432
Lalonde Sample,1.0,17.0,8.0,0.0,1.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,29.0,8.0,0.0,1.0,1.0,0.0,0,0.0,1923.938
Lalonde Sample,1.0,28.0,10.0,0.0,1.0,1.0,0.0,0,2836.506,3196.571
Lalonde Sample,1.0,35.0,10.0,0.0,1.0,1.0,0.0,0,0.0,4666.236
Lalonde Sample,1.0,27.0,11.0,0.0,1.0,1.0,0.0,0,0.0,549.2984
Lalonde Sample,1.0,29.0,4.0,0.0,1.0,1.0,0.0,0,0.0,762.9146
Lalonde Sample,1.0,28.0,9.0,0.0,1.0,1.0,0.0,0,0.0,10694.29
Lalonde Sample,1.0,27.0,11.0,0.0,1.0,1.0,0.0,0,0.0,0.0
Lalonde Sample,1.0,23.0,7.0,0.0,1.0,0.0,0.0,1,0.0,0.0
Lalonde Sample,1.0,45.0,5.0,1.0,1.0,1.0,0.0,0,0.0,8546.715
Lalonde Sample,1.0,29.0,13.0,0.0,0.0,1.0,0.0,0,0.0,7479.656
